house_id,temple_id,distance
479,1750845,0.238301
479,1752326,0.29802
479,1754079,0.177974
479,1769272,0.147789
480,1749402,0.17835
480,1756188,0.094804
484,1747863,0.04254
486,1760706,0.248509
488,1760570,0.216041
488,1772870,0.164159
489,1758138,0.071935
489,1769838,0.203504
490,1748881,0.190154
490,1763429,0.230665
490,1764986,0.170021
490,1765360,0.234769
490,1766421,0.072308
491,1758564,0.214013
493,1758540,0.229641
493,1759971,0.212925
494,1747895,0.227659
497,1753727,0.126502
498,1758180,0.165762
499,1752164,0.244151
502,1747895,0.270292
503,1754572,0.297193
504,1768710,0.294838
506,1765368,0.040602
509,1752102,0.222006
511,1754079,0.060857
511,1767008,0.255479
516,1753726,0.286599
516,1754744,0.237806
518,1758539,0.075727
519,1774826,0.176346
520,1756018,0.29466
520,1761124,0.250091
522,1760706,0.088957
523,1757484,0.248953
526,1748881,0.279051
526,1764986,0.07341
526,1766421,0.260413
527,1758564,0.286979
527,1759404,0.235501
529,1765365,0.230627
531,1758102,0.026588
535,1749402,0.075736
535,1756188,0.093379
537,1748978,0.178183
539,1746884,0.283761
539,1747957,0.202667
539,1764330,0.212174
540,1757988,0.260176
542,1752105,0.272898
542,1758301,0.211156
543,1753164,0.258362
545,1752962,0.282287
546,1754502,0.24837
546,1758290,0.299812
548,1749006,0.25681
548,1754224,0.202487
548,1758540,0.135424
548,1758855,0.29898
548,1759971,0.21938
549,1748727,0.261741
549,1752164,0.038395
550,1753946,0.27165
551,1774826,0.263654
552,1754502,0.117504
552,1758290,0.172354
553,1754502,0.117504
553,1758290,0.172354
554,1754502,0.117504
554,1758290,0.172354
555,1754502,0.112967
555,1758290,0.174239
556,1754502,0.117504
556,1758290,0.172354
559,1764159,0.260412
561,1759207,0.223438
561,1761121,0.247407
561,1766864,0.15934
563,1755690,0.292142
563,1766864,0.248656
565,1764464,0.277583
566,1759207,0.224225
566,1761121,0.245897
566,1766864,0.163704
569,1754617,0.285078
571,1752575,0.28964
573,1755082,0.021742
573,1758020,0.172617
573,1764803,0.021594
574,1754079,0.190489
575,1764980,0.250866
575,1767008,0.136458
576,1747499,0.12659
577,1747648,0.172434
579,1749402,0.255065
579,1756188,0.222749
580,1747957,0.29685
580,1750845,0.243702
