,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
23415,桃園市,八德區,豐田一路５３號４樓,房地(土地+建物)+車位,住,2015-10-12,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,52508,1200000,6360000,66.85,17.71,31.6,24.92642,121.2883
23416,桃園市,八德區,和義二街５５號５樓,房地(土地+建物)+車位,住,2008-08-13,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,60797,1200000,9300000,95.28,30.75,29.66,24.96109,121.30772
23418,桃園市,平鎮區,福壽路１６號八樓,房地(土地+建物)+車位,住,2019-08-20,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,43683,1300000,5200000,61.669999999999995,18.53,25.73,24.90304,121.21542
23419,桃園市,平鎮區,福壽路１８號十五樓,房地(土地+建物)+車位,住,2019-08-20,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,40435,1250000,4860000,61.669999999999995,18.53,25.73,24.90294,121.21542
23430,桃園市,八德區,仁德路８２號十樓,房地(土地+建物)+車位,住,2013-10-14,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,48731,0,8580000,88.34,29.55,45.73,24.93583,121.28418
23431,桃園市,蘆竹區,六福路３０２號,房地(土地+建物)+車位,住,1998-06-30,True,透天厝,2,6,3,True,True,1,1,1,其他,46795,0,14280000,271.89,93.54,0.0,25.06192,121.29465
23432,桃園市,蘆竹區,六福路１５８號六樓之３,房地(土地+建物)+車位,住,1999-11-23,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,51498,0,6240000,71.74000000000001,17.58,27.99,25.06003,121.29736
23434,桃園市,蘆竹區,南順六街７０號四樓之１,房地(土地+建物)+車位,住,1999-01-27,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道機械,65254,0,8900000,91.02,23.14,24.65,25.03976,121.29081
23435,桃園市,蘆竹區,中山路8之2號十一樓,房地(土地+建物)+車位,住,1998-12-16,True,住宅大樓(11層含以上有電梯),2,4,3,True,True,1,1,2,坡道平面,57170,0,19200000,198.22,35.97,79.5,25.05057,121.30176
23436,桃園市,蘆竹區,中山北街105號2樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,62427,1800000,10300000,91.88,29.57,31.81,25.05215,121.3026
23438,桃園市,蘆竹區,經國路906號二樓,房地(土地+建物)+車位,工,2012-11-12,True,辦公商業大樓,0,0,0,False,False,1,1,2,坡道平面,61417,0,18400000,143.69,26.52,0.0,25.03358,121.30114
23440,桃園市,蘆竹區,中山北街１１５號十三樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,71027,1800000,10270000,80.31,26.05,31.81,25.06323,121.20023
23441,桃園市,蘆竹區,中山北街１１７號十一樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,66042,1800000,8000000,63.44,20.41,31.81,25.05215,121.3026
23442,桃園市,蘆竹區,中山北街１０９號五樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,71225,1800000,11530000,92.26,29.6,31.81,25.05215,121.3026
23443,桃園市,蘆竹區,中山北街１１３號四樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,64750,1800000,7970000,64.42,20.7,31.81,25.05569,121.29825
23444,桃園市,蘆竹區,中山北街１１７號四樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,64231,1850000,7880000,63.44,20.41,31.81,25.05578,121.29821
23446,桃園市,蘆竹區,中山北街１２１號六樓,房地(土地+建物)+車位,住,2019-10-31,True,住宅大樓(11層含以上有電梯),1,2,1,True,True,1,1,1,坡道平面,66316,1800000,7850000,61.51,19.93,31.81,24.95585,121.22433
23447,桃園市,蘆竹區,忠孝西路182巷27號12樓,房地(土地+建物)+車位,住,2012-04-26,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,74979,0,8900000,62.589999999999996,12.1,30.08,25.03994,121.28835
23450,桃園市,蘆竹區,大興路１３號九樓,房地(土地+建物)+車位,住,2015-11-03,True,住宅大樓(11層含以上有電梯),1,3,2,True,True,1,1,1,坡道平面,58247,1300000,9080000,86.46,22.54,30.8,25.02435,121.25267
23451,桃園市,大園區,大成路一段５５號二樓,房地(土地+建物)+車位,住,2015-09-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,78532,2700000,12800000,84.25999999999999,25.04,55.94,25.01893,121.22248
23452,桃園市,大園區,大成路一段５５之１號七樓,房地(土地+建物)+車位,住,2015-09-23,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,76724,2700000,12500000,83.69999999999999,24.82,55.94,25.02086,121.22008
23453,桃園市,大園區,青峰路二段201號,房地(土地+建物)+車位,住,2012-11-06,True,華廈(10層含以下有電梯),2,3,2,True,True,1,2,1,坡道平面,50748,0,17000000,188.89,61.93,0.0,25.01955,121.22336
